Symbol , Exchange , Short Name , Market , Tradeable, Regular Market Price , Regular Market Change , Regular Market Previous Close , 50 Day Avg ,  200 Day Avg , 52 Week Low , 52 Week High 
CUK , NYQ , Carnival Plc , us_market , 1 , 16.47 , 4.55 , 11.92 , 12.348 , 13.0616 , 7.08 , 49.03
EPR , NYQ , EPR Properties , us_market , 1 , 32.035 , 8.725 , 23.31 , 24.9486 , 30.1278 , 12.56 , 74.65
RYCEF , PNK , ROLLS ROYCE HOLDINGS , us_market , 1 , 1.3 , 0.35 , 0.95 , 2.04 , 3.16324 , 0.88 , 9.76
BABWF , PNK , INTERNATIONAL CONSOLIDATED AIRL , us_market , 1 , 1.84 , 0.485 , 1.355 , 1.29771 , 2.35165 , 1.17 , 8.48
CCL , NYQ , Carnival Corporation , us_market , 1 , 18.57 , 4.75 , 13.82 , 14.4374 , 15.4937 , 7.8 , 51.94
ESYJY , PNK , EASYJET , us_market , 1 , 9.4 , 2.36 , 7.04 , 6.65143 , 7.76259 , 5 , 19.94
SABR , NMS , Sabre Corporation , us_market , 1 , 9.2935 , 2.2135 , 7.08 , 6.67229 , 7.33273 , 3.3 , 23.25
NWITY , PNK , NETWORK INTL HLDGS PLC UNSPONS  , us_market , 1 , 3.64 , 0.94 , 2.7 , 3.40377 , 4.90634 , 2.54 , 8.77
AER , NYQ , AerCap Holdings N.V. , us_market , 1 , 35.47 , 8.43 , 27.04 , 26.526 , 29.1218 , 10.42 , 64.86
FRT , NYQ , Federal Realty Investment Trust , us_market , 1 , 89.91 , 20.98 , 68.93 , 74.2083 , 79.3091 , 64.11 , 133.15
SLG , NYQ , SL Green Realty Corp , us_market , 1 , 57.45 , 13.63 , 43.82 , 46.7083 , 47.5789 , 35.16 , 96.39
USFD , NYQ , US Foods Holding Corp. , us_market , 1 , 30.03 , 6.71 , 23.32 , 23.3277 , 21.7555 , 8.32 , 42.28
PEB , NYQ , Pebblebrook Hotel Trust , us_market , 1 , 16.03 , 3.59 , 12.44 , 12.7617 , 12.5191 , 5.39 , 27.7
PK , NYQ , Park Hotels & Resorts Inc. , us_market , 1 , 13.3 , 3 , 10.3 , 10.2031 , 9.78014 , 3.99 , 26.58
VLO , NYQ , Valero Energy Corporation , us_market , 1 , 49.1501 , 10.9801 , 38.17 , 41.5449 , 53.9341 , 31 , 101.87
KIM , NYQ , Kimco Realty Corporation , us_market , 1 , 13.18 , 2.92 , 10.26 , 11.1486 , 11.6622 , 7.45 , 21.86
RETA , NGM , Reata Pharmaceuticals  Inc. , us_market , 1 , 168.45 , 36.56 , 131.89 , 111.431 , 133.422 , 88.17 , 257.965
REG , NMS , Regency Centers Corporation , us_market , 1 , 43.74 , 9.69 , 34.05 , 37.6697 , 41.2848 , 31.8 , 65.89
GRA , NYQ , W.R. Grace & Co. , us_market , 1 , 56.135 , 12.085 , 44.05 , 43.0949 , 46.8421 , 26.75 , 73.36
BRX , NYQ , Brixmor Property Group Inc. , us_market , 1 , 14.09 , 2.94 , 11.15 , 11.6611 , 11.9402 , 7.51 , 22.74
CPA , NYQ , Copa Holdings  S.A. Copa Holdin , us_market , 1 , 64.306 , 13.146 , 51.16 , 51.9934 , 49.4766 , 24 , 116.88
CHX , NYQ , ChampionX Corporation , us_market , 1 , 10.485 , 2.115 , 8.37 , 8.328 , 9.4036 , 2.89 , 34.8
FSR , NYQ , Fisker Inc. , us_market , 1 , 13.535 , 2.675 , 10.86 , 10.9817 , 10.58 , 8.9 , 6119
VNO , NYQ , Vornado Realty Trust , us_market , 1 , 38.07 , 7.7 , 30.37 , 33.4411 , 36.3635 , 27.64 , 68.68
WYNN , NMS , Wynn Resorts  Limited , us_market , 1 , 99.87 , 19.8 , 80.07 , 73.3366 , 80.0178 , 35.84 , 153.41
