Symbol , Exchange , Short Name , Market , Tradeable, Regular Market Price , Regular Market Change , Regular Market Previous Close , 50 Day Avg ,  200 Day Avg , 52 Week Low , 52 Week High 
EPR , NYQ , EPR Properties , us_market , 1 , 33.09 , 9.78 , 23.31 , 25.1747 , 30.1962 , 12.56 , 74.65
RYCEF , PNK , ROLLS ROYCE HOLDINGS , us_market , 1 , 1.34 , 0.39 , 0.95 , 2.02056 , 3.14396 , 0.88 , 9.6
CUK , NYQ , Carnival Plc , us_market , 1 , 16.81 , 4.89 , 11.92 , 12.4719 , 13.1033 , 7.08 , 49.03
PK , NYQ , Park Hotels & Resorts Inc. , us_market , 1 , 14.45 , 4.15 , 10.3 , 10.3211 , 9.83238 , 3.99 , 26.58
SABR , NMS , Sabre Corporation , us_market , 1 , 9.92 , 2.84 , 7.08 , 6.7625 , 7.36245 , 3.3 , 23.25
OGCP , PCX , Empire State Realty OP  L.P. Se , us_market , 1 , 7.5 , 2.14 , 5.36 , 6.13806 , 6.68302 , 5.25 , 14.44
CCL , NYQ , Carnival Corporation , us_market , 1 , 19.25 , 5.43 , 13.82 , 14.5711 , 15.5446 , 7.8 , 51.94
RHP , NYQ , Ryman Hospitality Properties  I , us_market , 1 , 56.44 , 15.79 , 40.65 , 40.0311 , 36.0845 , 13.25 , 91.57
ESBA , PCX , Empire State Realty OP  L.P. Se , us_market , 1 , 7.49 , 2.08 , 5.41 , 6.10333 , 6.6982 , 5.19 , 14.47
ESRT , NYQ , Empire State Realty Trust  Inc. , us_market , 1 , 7.55 , 2.06 , 5.49 , 6.16972 , 6.74259 , 5.19 , 14.53
SLG , NYQ , SL Green Realty Corp , us_market , 1 , 60 , 16.18 , 43.82 , 47.0775 , 47.6817 , 35.16 , 96.39
REG , NMS , Regency Centers Corporation , us_market , 1 , 45.96 , 11.91 , 34.05 , 37.9 , 41.3592 , 31.8 , 65.89
ESYJY , PNK , EASYJET , us_market , 1 , 9.45 , 2.41 , 7.04 , 6.72917 , 7.77727 , 5 , 19.94
CPA , NYQ , Copa Holdings  S.A. Copa Holdin , us_market , 1 , 68.04 , 16.88 , 51.16 , 52.4392 , 49.5986 , 24 , 116.88
FRT , NYQ , Federal Realty Investment Trust , us_market , 1 , 91.61 , 22.68 , 68.93 , 74.6917 , 79.4632 , 64.11 , 133.15
RETA , NMS , Reata Pharmaceuticals  Inc. , us_market , 1 , 174.66 , 42.77 , 131.89 , 113.187 , 133.567 , 88.17 , 257.965
KIM , NYQ , Kimco Realty Corporation , us_market , 1 , 13.57 , 3.31 , 10.26 , 11.2158 , 11.6977 , 7.45 , 21.86
NWITY , PNK , NETWORK INTL HLDGS PLC UNSPONS  , us_market , 1 , 3.56 , 0.86 , 2.7 , 3.40811 , 4.89606 , 2.54 , 8.77
FSR , NYQ , Fisker Inc. , us_market , 1 , 14.34 , 3.48 , 10.86 , 11.4614 , 10.8692 , 8.9 , 6119
AER , NYQ , AerCap Holdings N.V. , us_market , 1 , 35.52 , 8.48 , 27.04 , 26.7758 , 29.2169 , 10.42 , 64.86
VLO , NYQ , Valero Energy Corporation , us_market , 1 , 50.08 , 11.91 , 38.17 , 41.7819 , 53.9198 , 31 , 101.87
PEB , NYQ , Pebblebrook Hotel Trust , us_market , 1 , 16.3 , 3.86 , 12.44 , 12.86 , 12.5614 , 5.39 , 27.7
FANG , NMS , Diamondback Energy  Inc. - Comm , us_market , 1 , 32.4 , 7.66 , 24.74 , 29.1144 , 38.1371 , 14.55 , 96.92
HST , NMS , Host Hotels & Resorts  Inc. , us_market , 1 , 13.64 , 3.155 , 10.485 , 11.045 , 11.3042 , 7.86 , 18.9
BABWF , PNK , INTERNATIONAL CONSOLIDATED AIRL , us_market , 1 , 1.76 , 0.405 , 1.355 , 1.31056 , 2.34345 , 1.17 , 8.48
