Symbol, Long Name, Ask, Bid, Ask Size, Bid Size, Exchange, Book Value, Market Cap, Trailing PE, Forward PE, Reg. Market Price, Reg. Market High, Reg. Market Low, Reg. Market Change, Reg. Market Volume, Reg. Market Open, Reg. Market Previous Close, 50 Day Avg, 50 Day Avg Change, 200 Day Avg, 200 Day Avg Change, 1 Year High, 1 Year Low
IBM , International Business Machines Corporation , 116.66 , 116.62 , 11 , 14 , NYQ , 23.801 , 0 , 13.2381 , 10.0258 , 116.8 , 119.74 , 115.28 , 4.39 , 6.66353e+06 , 117.88 , 112.41 , 119.043 , -2.24342 , 122.249 , -5.44914 , 158.75 , 90.56
AMD , Advanced Micro Devices  Inc. , 84.99 , 84.94 , 10 , 8 , NMS , 3.217 , 0 , 114.201 , 45.8043 , 84.28 , 87.05 , 82.77 , -1.6 , 5.14792e+07 , 84.24 , 85.88 , 81.0751 , 3.20486 , 68.6274 , 15.6526 , 94.28 , 35.58
INTC , Intel Corporation , 46.31 , 46.3 , 13 , 22 , NMS , 18.193 , 6.91167e-310 , 9.04285 , 10.1316 , 46.1999 , 47.35 , 46.145 , 0.809902 , 3.64956e+07 , 46.64 , 45.39 , 50.032 , -3.8321 , 54.4977 , -8.29779 , 69.29 , 43.61
