Symbol, Long Name, Ask, Bid, Ask Size, Bid Size, Exchange, Book Value, Market Cap, Trailing PE, Forward PE, Reg. Market Price, Reg. Market High, Reg. Market Low, Reg. Market Change, Reg. Market Volume, Reg. Market Open, Reg. Market Previous Close, 50 Day Avg, 50 Day Avg Change, 200 Day Avg, 200 Day Avg Change, 1 Year High, 1 Year Low
PFE , Pfizer Inc. , 39.46 , 39.45 , 8 , 10 , NYQ , 11.584 , 0 , 25.7086 , 12.395 , 39.5399 , 41.95 , 38.38 , 3.1399 , 1.89345e+08 , 41.86 , 36.4 , 36.6377 , 2.90219 , 36.6124 , 2.92753 , 41.95 , 27.88
ZM , Zoom Video Communications  Inc. , 425.34 , 425.26 , 10 , 8 , NMS , 4.216 , 0 , 542.644 , 145.51 , 424.89 , 446.47 , 402 , -75.22 , 1.55287e+07 , 433 , 500.11 , 497.165 , -72.2751 , 311.645 , 113.245 , 588.84 , 62.02
BAC , Bank of America Corporation , 27.96 , 27.95 , 341 , 31 , NYQ , 28.335 , 6.91014e-310 , 13.8916 , 13.5577 , 28.2 , 28.245 , 26.3001 , 3.89 , 1.42477e+08 , 26.6003 , 24.31 , 24.2291 , 3.97086 , 24.5098 , 3.69022 , 35.72 , 17.95
SHOP , Shopify Inc. , 928.4 , 928 , 8 , 18 , NYQ , 50.666 , 6.91014e-310 , 571.325 , 262.777 , 924.975 , 991.41 , 924.37 , -120.025 , 2.87979e+06 , 990 , 1045 , 1020.11 , -95.1333 , 922.891 , 2.08441 , 1146.91 , 293.46
