Symbol, Long Name, Ask, Bid, Ask Size, Bid Size, Exchange, Book Value, Market Cap, Trailing PE, Forward PE, Reg. Market Price, Reg. Market High, Reg. Market Low, Reg. Market Change, Reg. Market Volume, Reg. Market Open, Reg. Market Previous Close, 50 Day Avg, 50 Day Avg Change, 200 Day Avg, 200 Day Avg Change, 1 Year High, 1 Year Low
MSFT , Microsoft Corporation , 221.96 , 222.02 , 8 , 8 , NMS , 16.313 , 0 , 35.8267 , 29.7708 , 222.09 , 228.12 , 220.78 , -1.63 , 2.8092e+07 , 224.435 , 223.72 , 211.553 , 10.5374 , 202.378 , 19.7116 , 232.86 , 132.52
AAP , Advance Auto Parts  Inc. , 158.45 , 158.1 , 8 , 9 , NYQ , 54.26 , 0 , 24.2952 , 17.1974 , 157.7 , 164.08 , 156.562 , 1.31999 , 960083 , 161.59 , 156.38 , 153.152 , 4.54799 , 145.501 , 12.1991 , 171.43 , 71.33
TSLA , Tesla  Inc. , 431.28 , 430.72 , 8 , 14 , NMS , 16.91 , 6.90592e-310 , 824.034 , 111.362 , 430.97 , 452.5 , 427.76 , 1.01999 , 2.93449e+07 , 439.5 , 429.95 , 423.727 , 7.24344 , 306.006 , 124.964 , 502.49 , 65.42
NVDA , NVIDIA Corporation , 554.17 , 553.5 , 31 , 10 , NMS , 22.551 , 6.90592e-310 , 101.752 , 49.9045 , 553.94 , 587.66 , 551.615 , -28.54 , 1.14444e+07 , 582.1 , 582.48 , 535.683 , 18.2568 , 437.17 , 116.77 , 589.07 , 180.68
AMD , Advanced Micro Devices  Inc. , 84.76 , 84.76 , 10 , 9 , NMS , 3.217 , 6.90592e-310 , 114.932 , 46.0978 , 84.82 , 87.05 , 82.77 , -1.06 , 4.83374e+07 , 84.24 , 85.88 , 81.0751 , 3.74486 , 68.6274 , 16.1926 , 94.28 , 35.58
