Symbol, Long Name, Ask, Bid, Ask Size, Bid Size, Exchange, Book Value, Market Cap, Trailing PE, Forward PE, Reg. Market Price, Reg. Market High, Reg. Market Low, Reg. Market Change, Reg. Market Volume, Reg. Market Open, Reg. Market Previous Close, 50 Day Avg, 50 Day Avg Change, 200 Day Avg, 200 Day Avg Change, 1 Year High, 1 Year Low
NVDA , NVIDIA Corporation , 530.19 , 529.9 , 8 , 10 , NMS , 24.772 , 3.28769e+11 , 86.8285 , 45.357 , 531.13 , 533.49 , 522.155 , -2.15997 , 4.51663e+06 , 532.77 , 533.29 , 533.94 , -2.81 , 482.182 , 48.9478 , 589.07 , 180.68
AAPL , Apple Inc. , 131.68 , 131.75 , 8 , 11 , NMS , 3.849 , 2.2422e+12 , 40.2073 , 30.3871 , 131.88 , 134.405 , 129.655 , 3.65001 , 1.65746e+08 , 131.61 , 128.23 , 120.118 , 11.762 , 110.269 , 21.6111 , 137.98 , 53.1525
MSFT , Microsoft Corporation , 223.5 , 223.4 , 9 , 11 , NMS , 16.313 , 1.6931e+12 , 36.1252 , 29.9786 , 223.94 , 225.63 , 221.98 , 1.35001 , 2.1795e+07 , 222.69 , 222.59 , 214.773 , 9.16714 , 209.685 , 14.2555 , 232.86 , 132.52
TSLA , Tesla  Inc. , 637 , 637.3 , 12 , 10 , NMS , 16.91 , 6.06979e+11 , 1224.36 , 166.755 , 640.34 , 649.88 , 614.23 , -9.51996 , 5.11373e+07 , 648 , 649.86 , 533.944 , 106.396 , 390.576 , 249.764 , 695 , 70.102
AMD , Advanced Micro Devices  Inc. , 92.95 , 92.86 , 9 , 10 , NMS , 3.217 , 1.12171e+11 , 126.233 , 50.9071 , 93.16 , 93.55 , 90.53 , -0.0699997 , 3.5145e+07 , 93.36 , 93.23 , 87.7574 , 5.40257 , 76.2337 , 16.9263 , 97.98 , 36.75
